66;Маяковская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.80, "name": "Маяковская", "double": "true", "lat": 55.769808, "lng": 37.596192}
67;Тверская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.122, "name": "Тверская", "lat": 55.765343, "lng": 37.603918}
68;Театральная;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.99, "name": "Театральная", "double": "true", "lat": 55.758808, "lng": 37.61768}
69;Новокузнецкая;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.89, "name": "Новокузнецкая", "lat": 55.742391, "lng": 37.62928}
70;Павелецкая;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.101, "name": "Павелецкая", "double": "true", "lat": 55.729741, "lng": 37.638693}
71;Автозаводская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.2, "name": "Автозаводская", "double": "true", "lat": 55.706634, "lng": 37.657008}
72;Технопарк;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.512, "name": "Технопарк", "lat": 55.695, "lng": 37.664167}
73;Коломенская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.53, "name": "Коломенская", "lat": 55.677423, "lng": 37.663719}
74;Каширская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.45, "name": "Каширская", "double": "true", "lat": 55.655745, "lng": 37.649683}
75;Кантемировская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.42, "name": "Кантемировская", "lat": 55.636107, "lng": 37.656218}
76;Царицыно;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.153, "name": "Царицыно", "double": "true", "lat": 55.620982, "lng": 37.669612}
77;Орехово;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.96, "name": "Орехово", "lat": 55.61269, "lng": 37.695214}
78;Домодедовская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.38, "name": "Домодедовская", "lat": 55.610131, "lng": 37.717111}
79;Красногвардейская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.57, "name": "Красногвардейская", "lat": 55.614075, "lng": 37.742697}
80;Алма-Атинская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.257, "name": "Алма-Атинская", "lat": 55.63349, "lng": 37.765678}
81;Медведково;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.81, "name": "Медведково", "lat": 55.888103, "lng": 37.661562}
82;Бабушкинская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.13, "name": "Бабушкинская", "lat": 55.870641, "lng": 37.664341}
83;Свиблово;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.129, "name": "Свиблово", "lat": 55.855558, "lng": 37.653379}
84;Ботанический сад;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.24, "name": "Ботанический сад", "double": "true", "lat": 55.844597, "lng": 37.637811}
85;ВДНХ;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.27, "name": "ВДНХ", "lat": 55.819626, "lng": 37.640751}
86;Алексеевская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.8, "name": "Алексеевская", "double": "true", "lat": 55.807794, "lng": 37.638699}
87;Рижская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.126, "name": "Рижская", "double": "true", "lat": 55.792494, "lng": 37.636114}
88;Проспект Мира;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.120, "name": "Проспект Мира", "double": "true", "lat": 55.781827, "lng": 37.633199}
89;Сухаревская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.137, "name": "Сухаревская", "lat": 55.772315, "lng": 37.63285}
90;Тургеневская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.144, "name": "Тургеневская", "lat": 55.765371, "lng": 37.636732}
91;Китай-город;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.50, "name": "Китай-город", "double": "true", "lat": 55.756498, "lng": 37.631326}
92;Третьяковская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.90, "name": "Третьяковская", "double": "true", "lat": 55.74073, "lng": 37.625624}
93;Октябрьская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.94, "name": "Октябрьская", "double": "true", "lat": 55.731232, "lng": 37.612851}
94;Шаболовская;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.157, "name": "Шаболовская", "lat": 55.718828, "lng": 37.607892}
95;Ленинский проспект;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.74, "name": "Ленинский проспект", "double": "true", "lat": 55.70678, "lng": 37.58499}
96;Академическая;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.3, "name": "Академическая", "double": "true", "lat": 55.687147, "lng": 37.5723}
97;Профсоюзная;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.121, "name": "Профсоюзная", "lat": 55.677671, "lng": 37.562595}
98;Новые Черемушки;{"city": "Москва", "line": {"id": 6, "name": "Калужско-Рижская", "hex-color": "F07E24"}, "id": 6.92, "name": "Новые Черемушки", "lat": 55.670077, "lng": 37.554493}
